Months,CHN,SEA,EAS,USA,EUR,Total
0,-2000,-2100,-1200,400,-1200,-6100
1,-2800,-3700,0,-1000,0,-7500
2,-7600,1800,0,0,0,-5800
3,-2200,-5100,-1200,200,0,-8300
4,-5400,-3700,-900,0,0,-10000
5,-9400,2000,1000,-5800,0,-12200
6,6700,-2000,2800,-2600,-1200,3700
7,-2700,8900,0,0,0,6200
8,11900,-2300,0,-1000,-950,7650
9,-5800,0,0,-800,-2150,-8750
10,10500,7700,-1200,-4700,2900,15200
11,-6800,-600,0,-4700,750,-11350
12,5300,200,-1200,-800,0,3500
13,-2600,-2300,0,-2000,-950,-7850
14,8400,9800,-3000,20400,-11150,24450
15,-1000,-2300,4700,-10300,1700,-7200
16,7700,-600,0,-2000,11050,16150
17,-3000,-4300,0,-5900,2900,-10300
18,14100,7400,0,1200,-1200,21500
19,11100,-700,0,9000,0,19400
20,-2800,-2100,0,-1000,-950,-6850
21,6900,12200,0,12000,0,31100
22,-100,-3100,0,-5900,1950,-7150
23,10200,100,0,-2000,-950,7350
24,-100,9700,-1200,-3700,2900,7600
25,10200,200,100,7200,0,17700
26,-4200,100,2800,-3800,0,-5100
27,0,-800,0,10000,0,9200
28,6800,1100,0,8200,-10200,5900
29,-1600,0,0,200,-1200,-2600
30,-2000,-2100,0,-1000,12000,6900
31,-1900,-3000,0,-800,-1200,-6900
32,11000,-2300,-2400,-600,0,5700
33,-3700,10000,0,-1000,-950,4350
34,-5400,-1900,-1800,-1000,0,-10100
35,12600,-5400,4700,2700,750,15350
36,-1900,-2200,-1200,1400,-2150,-6050
37,9300,10600,0,-4900,2900,17900
38,-3700,-1300,-1200,-600,-1200,-8000
39,8700,100,0,22400,-12350,18850
40,-3500,9900,-1800,-1000,-950,2650
41,-4600,-2900,4700,-9500,13950,1650
42,-1900,-2900,-1200,-3700,1950,-7750
43,6100,900,0,-1000,-950,5050
44,-1000,9000,0,-3900,2900,7000
45,6000,1100,0,7100,1950,16150
46,-3200,-800,0,0,0,-4000
47,6000,100,0,-5800,-1200,-900
48,-1100,9900,-2400,1600,-1200,6800
49,7500,-2000,100,-2600,-1200,1800
50,-6200,-1800,2800,7400,-2150,50
51,6600,-2100,0,0,0,4500
52,-5900,-700,0,8100,1950,3450
53,16300,-9100,-1200,-800,-1900,3300
54,-7600,11400,-2100,8300,2900,12900
55,6800,-500,1900,-7700,1950,2450
56,-7900,-1800,1900,4600,-12350,-15550
57,12400,7600,-1200,-2700,2900,19000
58,-3500,-2200,-900,-1000,0,-7600
59,10100,-2200,1900,8200,12000,30000
60,-4600,9300,1900,-3800,0,2800
61,9500,-2300,0,-2000,0,5200
62,-1300,6800,0,-2000,0,3500
63,4100,500,0,-800,-1200,2600
64,600,7400,0,10000,0,18000
65,5200,200,0,-4000,-950,450
66,-400,-5200,-2400,1800,-2400,-8600
67,8700,0,0,8100,1950,18750
68,8200,9300,-3000,200,-1900,12800
69,-4600,-2200,4700,-10500,2900,-9700
70,5000,10000,-10200,6300,1950,13050
71,-2100,-5300,0,9200,-11150,-9350
72,5400,0,12000,-2900,2900,17400
73,-3500,9800,-10200,8200,0,4300
74,7500,-2100,-1200,1200,12000,17400
75,-3400,-800,-1800,-1000,0,-7000
76,9300,-2100,15500,-6400,0,16300
77,-4300,12100,-1200,1400,-1200,6800
78,7800,100,-2100,-800,0,5000
79,-400,-4600,1000,-4600,-1200,-9800
80,12000,-800,1600,9600,-1200,21200
81,-900,0,-900,-1000,0,-2800
82,12000,0,3800,-5600,-950,9250
83,-2700,12100,0,8200,-10200,7400
84,12500,-4600,0,-2900,1950,6950
85,8600,-1500,0,6300,-8250,5150
86,-7700,1200,0,0,12000,5500
87,-3300,12000,0,-1000,0,7700
88,7700,200,0,0,12000,19900
89,-6800,100,0,0,0,-6700
90,-4400,-2200,0,-1000,0,-7600
91,10100,-2100,-2400,400,0,6000
92,10100,-2300,0,-1000,0,6800
93,-1900,-2200,100,-2800,0,-6800
94,8200,-2700,2800,-5600,-1200,1500
95,-5100,-500,-1200,400,-1200,-7600
96,9900,7600,0,11000,0,28500
97,-2000,-3700,0,-1000,-950,-7650
98,2100,-5300,0,12200,-2150,6850
99,6000,-600,0,-2700,1700,4400
100,-1000,9800,0,-3900,1950,6850
101,6900,200,0,-1000,-950,5150
102,-6400,9400,0,0,-950,2050
103,6000,200,0,-5900,2900,3200
104,-5300,-2100,-10200,6300,1950,-9350
105,10100,8900,-1200,1200,0,19000
106,-9300,1200,10200,-1000,0,1100
107,10200,-3100,4700,-5600,0,6200
108,500,-5300,0,11000,0,6200
109,7500,10600,0,-4000,0,14100
110,-2100,-6000,-2400,3600,-1200,-8100
111,10800,-3700,-900,-1000,0,5200
112,-1900,8900,-200,-2600,-950,3250
113,10900,-2300,2800,-4800,-950,5650
114,-2900,9200,0,-2700,1700,5300
115,-2100,-4400,-1200,-4700,1950,-10450
116,11000,-3100,0,11000,0,18900
117,-800,11200,-1800,200,-1200,7600
