Months,CHN,SEA,EAS,USA,EUR,Total
0,100,200,-3900,-600,-1200,-5400
1,-900,-5200,200,-1000,0,-6900
2,200,-2800,-800,-2000,0,-5400
3,1100,-5200,800,-3600,0,-6900
4,-2600,9500,-3600,-12000,0,-8700
5,200,-5400,2000,-7800,0,-11000
6,-5800,-5300,2100,15200,-1200,5000
7,-3700,3600,-9000,1000,0,-8100
8,9200,-3600,3900,-3800,-950,4750
9,-6300,10000,16800,-13600,-2150,4750
10,8400,3700,-2000,-2700,2900,10300
11,100,-2600,-2600,-2700,750,-7050
12,1100,-9000,4500,15600,-10200,2000
13,-3600,7200,2000,-12000,-950,-7350
14,11200,3700,-100,-800,-950,13050
15,-2000,-9200,4700,-2700,13700,4500
16,-2700,4600,3900,-2000,-950,2850
17,-2800,-9100,1200,11100,2900,3300
18,-3800,7200,1900,-7800,-1200,-3700
19,12000,9300,-10900,10000,0,20400
20,-3000,6600,-1700,-7000,-950,-6050
21,-2700,-8400,2900,14000,0,5800
22,11200,-6600,12100,-1900,1950,16750
23,0,7300,-9000,9000,-950,6350
24,0,600,2600,-9700,2900,-3600
25,-3000,-600,9300,12000,0,17700
26,0,4500,-8000,-1000,0,-4500
27,-9400,100,2900,15000,0,8600
28,9100,-600,8300,-1000,0,15800
29,-6400,-2800,4800,12200,-1200,6600
30,9200,12200,100,0,0,21500
31,-8500,100,2000,-800,-1200,-8400
32,11300,0,-3400,-600,0,7300
33,-3800,-2500,-1700,15000,-950,6050
34,11100,-5200,-2500,-2000,0,1400
35,-4600,-3600,4800,-4700,750,-7350
36,-3800,-1100,4600,-6600,-2150,-9050
37,12100,-11900,1100,-2900,2900,1300
38,-900,-2700,-2000,11400,-1200,4600
39,-4800,-9100,5800,1200,-2150,-9050
40,0,5800,2000,-3000,-950,3850
41,-4600,4600,200,100,1950,2250
42,7200,18700,-1100,-11700,1950,15050
43,-2700,6400,1000,0,-950,3750
44,8400,-2600,1100,9100,2900,18900
45,-3000,6600,-13500,-2900,1950,-10850
46,-3600,3600,8500,7400,-10200,5700
47,8200,-2700,12900,-800,-1200,16400
48,-2000,3800,-2200,5600,10800,16000
49,0,-2500,200,-4600,-1200,-8100
50,-6600,6900,-4300,5200,-2150,-950
51,9200,-5400,4800,7400,0,16000
52,100,-3500,2000,-8700,1950,-8150
53,0,-4100,4600,-7800,-1900,-9200
54,-7500,1000,3700,1300,2900,1400
55,13100,-5200,-1600,4100,1950,12350
56,0,-1700,300,400,-12350,-13350
57,0,-6300,900,5500,2900,3000
58,0,4500,1100,-10000,12000,7600
59,-2700,700,2900,1000,0,1900
60,0,-6000,3000,-3800,0,-6800
61,0,4400,2000,2000,0,8400
62,-3000,3800,-9800,-1000,0,-10000
63,11300,-5900,-700,10200,-1200,13700
64,-3000,4400,2000,4000,0,7400
65,-2900,1000,16800,-14800,-950,-850
66,-2800,-600,-1300,12000,-2400,4900
67,11200,4200,-800,-10900,1950,5650
68,-5500,6800,-100,200,-1900,-500
69,-4500,-3500,-2700,-1900,2900,-9700
70,12200,1900,4000,-6700,1950,13350
71,200,-6300,3800,-5800,-950,-9050
72,-1900,-6400,2900,9100,2900,6600
73,-900,4300,-8000,-1800,0,-6400
74,100,15800,800,9400,-10200,15900
75,-1700,-3600,13000,-2000,0,5700
76,-5800,7400,-10100,13200,12000,16700
77,10300,-6300,800,-600,-1200,3000
78,1100,-8300,13700,11200,0,17700
79,-2700,5600,3800,9200,-1200,14700
80,0,6400,-11100,-600,-1200,-6500
81,-3800,-2800,2800,14000,0,10200
82,9000,11200,12000,2000,-950,33250
83,100,9300,-1900,1000,0,8500
84,-5700,9200,2900,-1900,1950,6450
85,-4700,-600,-1800,11100,1950,5950
86,13100,10300,-5400,-14000,0,4000
87,0,-11400,6700,10200,0,5500
88,-900,-6400,2900,-800,0,-5200
89,200,10100,-3700,1000,0,7600
90,-5700,900,6700,1000,0,2900
91,12200,200,-5100,-600,0,6700
92,-3900,-3600,2900,12200,0,7600
93,-4700,-2700,900,1000,0,-5500
94,11200,6800,-1600,9200,-1200,24400
95,-3000,-5200,-2800,1400,-1200,-10800
96,0,800,3000,2200,0,6000
97,-3700,-3600,3000,-4800,-950,-10050
98,-2600,1700,7600,1200,-2150,5750
99,9100,3800,-10100,-2500,1700,2000
100,0,-9300,2000,11100,1950,5750
101,0,10200,-2700,-12000,-950,-5450
102,-800,-8700,12300,11000,-950,12850
103,1100,-6200,-1800,6100,2900,2100
104,-2800,13800,1100,-2700,-8250,1150
105,-3700,900,-100,5200,0,2300
106,6300,-2500,1100,-800,12000,16100
107,0,800,-5200,10000,0,5600
108,-2800,-3400,-10000,8200,0,-8000
109,10400,-1400,15800,0,0,24800
110,1100,1100,2400,800,-1200,4200
111,-3000,-3600,12100,1000,0,6500
112,-6400,-2800,2600,12200,-950,4650
113,-3700,15600,2000,-10000,-950,2950
114,7300,3900,1100,-10700,1700,3300
115,5400,-3400,800,9300,1950,14050
116,-900,-2800,2000,-4800,0,-6500
117,-2800,18500,1900,4200,-1200,20600
118,12000,-800,-1800,-800,-1200,7400
119,200,4500,3800,-1000,0,7500
120,-3900,-700,-900,23200,-11150,6550
121,1000,7300,-900,-11800,-2150,-6550
122,-3900,-5600,2900,11300,1700,6400
123,-1900,-3500,0,-1900,13950,6650
124,11200,-2700,-800,11000,-950,17750
125,200,6300,1900,-1000,-950,6450
126,0,6400,-4500,-12900,2900,-8100
127,100,-9100,7600,-6500,750,-7150
128,-2900,10000,-1200,8400,-10200,4100
129,-2800,-3200,-700,-1000,0,-7700
130,-2700,-2500,200,9000,11050,15050
131,-3700,6700,-800,-700,750,2250
132,8300,-2400,-1600,7000,-950,10350
133,-8400,9400,-1900,-10300,500,-10700
134,5400,-2800,4500,400,0,7500
135,12100,-5200,-2600,10000,-950,13350
136,100,-9000,3000,-4000,0,-9900
137,-3000,-9200,3600,11500,750,3650
138,-3000,5600,2700,-1600,-950,2750
139,-600,-1200,4700,-14900,1950,-10050
140,12100,13000,2000,-9800,-2150,15150
141,-5700,-3500,-9200,20700,500,2800
142,100,4700,-1600,-14900,1950,-9750
143,200,3700,14800,-1400,-2400,14900
144,100,3600,-9000,-2000,-950,-8250
145,100,-8600,1900,9100,1950,4450
146,100,4100,-13700,9400,-950,-1050
147,0,-9000,14100,-4900,1950,2150
148,-3700,10200,200,-5300,750,2150
149,9100,900,5700,-11600,-2150,1950
150,-3000,-2400,7600,10100,2900,15200
151,300,3700,2900,-16800,-950,-10850
152,-900,-9100,2100,10200,-950,1350
153,-5600,-5400,-1400,-500,2900,-10000
154,200,12800,3600,-3700,1950,14850
155,5400,-6400,800,15400,-1200,14000
156,9400,1700,2100,-10000,0,3200
157,-800,800,5700,0,0,5700
158,200,-9100,2900,-1000,-950,-7950
159,1000,4300,-800,2000,-950,5550
